Ransomware ,Company Name,Industry,Headquarters,Country,Date of attack,APAC? (Yes/No),Type of data leaked
Conti,"VUTEQ CORPORATION, LTD.",Automotive,"Chonburi, Thailand.",Thailand,,Yes,Computer Files
Conti,Adams County Memorial Hospital,Healthcare,"Decatur, IN",States,,No,Computer Files
Conti,M and M Merchandisers,Manufacturing,"Fort Worth, TX",States,,No,Computer Files
Conti,OCA Global,Retail & Sales,"Barcelona, Spain",España,,No,Computer Files
Conti,Our Lady of the Most Holy Rosary Catholic Community,Religious industry,"Albuquerque, NM",States,,No,Computer Files
Conti,PanReac AppliChem ITW Reagents Division,Manufacturing,"Chicago IL, US.",States,,No,Computer Files
Conti,"Pilkington Commercial Co., Inc.",Construction,"Arizona, United States",States,,No,Computer Files
Conti,CCB Packaging Inc,Manufacturing,"Hiawatha, IA",States,,No,Computer Files
Conti,Beler Holdings Inc,Retail & Sales,"Mississauga, ONTARIO",Canada,,No,Computer Files
Conti,"Cambria County, Pennsylvania",Government,"Philadelphia, PA",States,,No,Computer Files
Conti,New Light Christian Christian Center,Religious industry,"Houston, TX",States,,No,Computer Files
Conti,ThyssenKrupp Holding,Manufacturing,"Essen, Germany",Deutschland,,No,Computer Files
Conti,Allfasteners,Manufacturing,"Medina, OH",States,,No,Computer Files
Conti,4th Judicial District Court,Government,"Monroe, LA",States,,No,Computer Files
Conti,LindFast Solutions Group,Retail & Sales,"Blaine, MN",States,,No,Computer Files
Conti,CB Masonry,Construction,USA,States,,No,Computer Files
Conti,"Smith &amp; McGhee, PC",Legal,"DOTHAN, Alabama",States,,No,Computer Files
Conti,"Star-Tam, Inc.",Retail & Sales,"SAN LEANDRO, California",States,,No,Computer Files
Conti,"Chris-Leef General Agency, Inc",Financial,"Shawnee Mission, Kansas",States,,No,Computer Files
Conti,Millstone Township School District,Education,"Clarksburg, NJ",States,,No,Computer Files
Conti,Horizon Controls,Consulting,"Plymouth Meeting, PA",States,,No,Computer Files
Conti,Adam Kutner Cares,Legal,"Las Vegas, NV",States,,No,Computer Files
Conti,Neel Veterinary Hospital,Healthcare,"Oklahoma City, OK",States,,No,Computer Files
Conti,Pearson Foods Corporation,Food,"Grand Rapids, MI",States,,No,Computer Files
Conti,Earthly Choice,Food,"Cedar Grove, NJ",States,,No,Computer Files
Conti,Siegfried &amp; Jensen,Legal,"Salt Lake City, UT",States,,No,Computer Files
Conti,News Galstan and Ward Family,Healthcare,"Virginia, VA",States,,No,Computer Files
Conti,Manitoulin Transport,Logistics and Supply,"Gore Bay, Canada",Canada,,No,Computer Files
Conti,Tile Liquidators,Retail & Sales,"Chanhassen, MN",States,,No,Computer Files
Conti,"City of Casey, Illinois",Government,"Casey, IL",States,,No,Computer Files
Conti,Inter-Con Servicios de Seguridad Privada,Essential Services,"Pasadena, CA",States,,No,Computer Files
Conti,Higginbotham Family Dental,Healthcare,"Blytheville, AR",States,,No,Computer Files
Conti,Washington County Sheriff,Government,"Stillwater, MN",States,,No,Computer Files
Conti,Ruddy Joinery,Construction,"Flitwick, United Kingdom",Kingdom,,No,Computer Files
